time,open,high,low,close,volume
1672560000000,16525.7,16527.79,16525.11,16527.0,51.72657
1672560060000,16527.0,16530.55,16526.13,16527.88,108.88177
1672560120000,16527.39,16531.33,16526.46,16531.23,88.85842
1672560180000,16531.23,16532.69,16529.73,16531.5,75.04722
1672560240000,16531.94,16533.15,16530.6,16531.29,55.16144
1672560300000,16531.82,16534.03,16531.0,16532.04,54.13788
1672560360000,16532.05,16533.02,16519.66,16523.75,223.88639
1672560420000,16523.12,16526.11,16521.86,16523.83,61.27651
1672560480000,16523.83,16525.44,16520.1,16520.29,79.06877
1672560540000,16520.73,16523.71,16519.86,16522.14,61.8825
1672560600000,16522.14,16523.91,16519.39,16521.21,68.14259
1672560660000,16521.77,16523.73,16520.01,16522.35,60.1801
1672560720000,16522.78,16522.9,16519.57,16519.9,38.8259
1672560780000,16520.33,16521.43,16518.8,16519.69,60.09725
1672560840000,16519.27,16520.7,16516.78,16518.19,67.55315
1672560900000,16518.19,16519.02,16516.0,16516.79,70.61168
1672560960000,16516.18,16517.34,16513.28,16514.63,104.93672
1672561020000,16514.18,16515.44,16513.24,16515.42,49.96093
1672561080000,16515.26,16523.7,16514.79,16522.35,147.86689
1672561140000,16522.35,16524.72,16522.07,16523.87,57.12184
1672561200000,16523.87,16525.7,16521.04,16521.35,70.5785
1672561260000,16521.35,16524.38,16520.52,16522.1,72.929
1672561320000,16522.1,16523.88,16519.04,16520.76,94.38641
1672561380000,16520.28,16521.93,16520.02,16520.6,23.30614
1672561440000,16520.6,16525.88,16518.6,16524.19,88.93488
1672561500000,16524.04,16524.19,16521.35,16523.14,39.92561
1672561560000,16523.14,16525.0,16522.0,16522.08,51.58171
1672561620000,16522.08,16522.73,16520.56,16521.34,45.86142
1672561680000,16521.34,16523.38,16520.53,16523.38,33.23706
1672561740000,16523.04,16523.98,16522.43,16523.23,40.43902
1672561800000,16522.83,16525.1,16521.32,16524.08,74.57171
1672561860000,16524.08,16524.08,16521.39,16522.44,57.96872
1672561920000,16522.44,16524.75,16521.73,16523.77,72.54424
1672561980000,16523.76,16527.11,16522.41,16523.64,105.91637
1672562040000,16523.63,16523.67,16520.96,16521.08,43.97215
1672562100000,16521.25,16521.97,16518.6,16519.25,82.31144
1672562160000,16519.25,16520.46,16516.61,16516.78,124.17786
1672562220000,16517.27,16517.84,16516.5,16517.32,36.84122
1672562280000,16516.99,16517.46,16516.0,16516.78,37.85889
1672562340000,16516.78,16517.37,16512.68,16514.5,82.44303
1672562400000,16514.06,16517.85,16513.02,16516.82,62.26796
1672562460000,16517.09,16517.29,16513.13,16513.64,42.67562
1672562520000,16513.64,16514.2,16512.9,16512.91,19.09239
1672562580000,16513.38,16514.21,16510.2,16510.34,85.28364
1672562640000,16510.34,16512.59,16509.3,16510.68,117.58737
1672562700000,16510.68,16512.06,16509.72,16510.31,46.12319
1672562760000,16509.91,16513.98,16509.19,16512.87,99.37427
